eventId	best	average	value1	value2	value3	value4	value5
333	1968	2128	1968	2203	2138	2139	2108
333	1731	2140	2222	2153	1731	2334	2046
333	2305	2637	3430	2581	2540	2789	2305
333	2452	2637	2715	2452	2868	2632	2564
333	2677	2906	2921	3184	2891	2677	2907
333	1869	2910	3309	1869	2558	2930	3241
